,text,BIO_anno,class,bank_topic
2418,我都没参加。太高了。,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
2419,0.3可以。很低了,O O O O O O O B-COMMENTS_ADJ O,2,
2420,不高于0.4。都可以保障，0.4保障，只赚积分?低于0,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O,2,招商银行
2421,完了，完了，我参加了活动但是忘了去掌上生活点,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O,2,
2422,过两天再看看，一般工行的速度很快的,O O O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ O,2,
2423,预祝下卡，顺便问下用什么进件的？,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,2,招商银行
2424,不是应该说用于个人消费吗,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,招商银行
2425,最后一次回访的时候问我信用卡申请拿来干嘛，我说有时候要有时要资金周转。,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O,2,招商银行
2426,日常消费，喝喝茶，约会用下:lol,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O,2,招商银行
2427,10:00还在审核。?,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,招商银行
2428,刚看到没拒绝，也不知道明天能不能上厕所,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0,招商银行
2429,告诉银行你在变相做什么，银行给你批真水。,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0,招商银行
2430,周六卡会员在家申请，今天周一数据还在审核中。招商是,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-BANK I-BANK O,2,招商银行
2431,银行又不管短期不短期??前几天去icbc办经营贷??审批人员直接答复5年内1次1秒的逾期都不行,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
2432,逾期上的了，不过短期逾期且次数不多对房贷没大影响,B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT O O O O,2,招商银行
2433,我是10还款日13号还算逾期吗,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,招商银行
2434,招行不知道交通有过一笔外币的欠款忘了还了逾期4天打电话过去，客服主动告诉我不会上征信不用担心,B-BANK I-BANK O O O B-BANK I-BANK O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2435,最后上了吗,O O O O O,2,招商银行
2436,上次拿到了吗,O O O O O O,2,招商银行
2437,打电话和客服确认，好像有时候不会去，之前恒丰就超过了,O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O,2,招商银行
2438,放心，不用去你单位，你在哪让业务员过来，然后业务员给你办理，下卡了的话直接APP激活,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,招商银行
2439,你放心，不去你办公室，你让业务员过来哪里，然后业务员就会去的，毕竟他是有钱拿的，还是很开心的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
2440,华夏1.5W-6W,B-BANK I-BANK O O O O O O O,2,招商银行
2441,请教一下，平时刷卡姿势？,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,招商银行
2442,怎么用的，每月刷多少笔，总额度的多少,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2443,恭喜，社保基数不低吧？,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1,建设银行
2444,恭喜呀，优质客户,B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1,建设银行
2445,工行白金25k16年9月,B-BANK I-BANK O O O O O O O O O O,2,招商银行
2446,招商银行【4.8+0.7】,O O O O O O O O O O O O O,2,招商银行
2447,2.浦发120K2105,O O B-BANK I-BANK O O O O O O O O,2,
2448,广发_178k　,B-BANK I-BANK O O O O O O,2,招商银行
2449,建行大山白80k,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O,2,招商银行
2450,招商55k(小黑，2年了),B-BANK I-BANK O O O O O O O O O O O,2,招商银行
2451,楼主用的什么软件？,O O O O O O O O O,2,招商银行
2452,独立日,O O O,2,招商银行
2453,这是什么软件,O O O O O O,2,招商银行
2454,什么管理软件,O O O O O O,2,招商银行
2455,■农行精粹白,O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT,2,招商银行
2456,3000的路过，不知道为什么用了那么久都没提额,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,招商银行
2457,笔数太低，进小黑屋了,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,招商银行
2458,我一直在小额多刷啊。。真实消费,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,招商银行
2459,平安腾讯金：51k,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,招商银行
2460,手机闪付多好用，话说我就是一直二维码，咋了？,O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O,2,招商银行
2461,你总不能一天刷n次一个嘿嘿嘿？？有一个鸡不支持二维码??我想两个鸡轮流刷呵呵,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,
2462,你可以加到手机闪付里面，这样就是3.8了,O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O,2,招商银行
2463,的时候可以加到手机闪付里，3.8。,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O,2,招商银行
2464,都显示征信总额度了,O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O,2,招商银行
2465,花呗没啥意思，只能提前投资消费。,B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O,2,招商银行
2466,不要显示小额贷款公司就行,O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O,2,招商银行
2467,请问花呗以前逾期的会上吗，现在是没上的状态,O O B-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O,2,招商银行
2468,我也是花呗借呗逾期??已经结清了??不知道后面上不上,O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2,
2469,上了再说，哈哈哈，金额多少都无所谓,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,
2470,退款是原路退回信用卡的，只是给你恢复额度而已，老老实实拿台鸡搞出来更好。,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
2471,不对，虽然是原路退回卡里，但我办分期已经把消费的那部分占用了额度，分期后相当于这部分已经等同于还款了，退回去的已经是超过额度的钱了，我以前试过类似情况，当时是...,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,招商银行
2472,新思路??大佬亲测了吗??别被反杀了,O O O O O O O O O O O O O O O O O O,2,
2473,退款是原来的退贷方式卡，只是为了给你恢复额度，老老,B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,招商银行
2474,提固额是不是稳了,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2475,临额都不用吗？,B-COMMENTS_N I-COMMENTS_N O O O O O,2,招商银行
2476,用??用了才提，提额还是很快的,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O,2,
2477,账单不能分期,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT,2,招商银行
2478,要看你具体情况的，你这样说太笼统了,O O O O O O O O O O O O O O O O O,2,招商银行
2479,这个应该要看自降还是被降吧,O O O O O O O B-COMMENTS_ADJ O O O B-COMMENTS_ADJ O,2,招商银行
2480,你要用，都不用怎么提高额度,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N,2,招商银行
2481,被降,O B-COMMENTS_ADJ,2,招商银行
2482,银行给降的说我有套现,O O O B-COMMENTS_ADJ O O O O O O,2,招商银行
2483,要看你的具体情况。你这么说太笼统了,O O O O O O O O O O O O O O O O O,2,招商银行
2484,白金卡么？工作证明盖个章就可以了,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O,2,招商银行
2485,不是啊，金卡，提交了才开始审核嘛？,O O O O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,招商银行
2486,上班的地方有招商，直接叫卡员过来，比较快。,O O O O O O B-BANK I-BANK O O O O O O O O O O O B-COMMENTS_ADJ O,2,招商银行
2487,已经卡联系我了，开心,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
2488,白金卡吗？工作证明盖章即可,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2,招商银行
2489,同问，是贷后管理吗，网贷还是可以搞下的,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2,
2490,遇事不决销中信,O O O O O B-BANK I-BANK,2,招商银行
2491,消掉多可惜,O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2492,大妈小昭贷款方便！中行活动划算,O O O O B-PRODUCT I-PRODUCT O O O B-BANK I-BANK O O O O,2,招商银行
2493,中行也是纠结的点，就是额度低,B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ,2,招商银行
2494,啥叫3,O O O,2,招商银行
2495,这么稳得吗？,O O B-COMMENTS_ADJ O O O,2,招商银行
2496,农行7k-100元,B-BANK I-BANK O O O O O O O,2,招商银行
2497,3个月天啊，这速度,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
2498,稳了稳了,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2499,这就稳了？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
2500,有社保稳了嗷,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
2501,断交了，心累啊,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
2502,基本很稳的我的没工作都下,O O O B-COMMENTS_ADJ O O O O O O O O,2,招商银行
2503,卡员上门拍照你咋过的啊？好心慌,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
2504,有社保稳定？,O O O B-COMMENTS_ADJ O O,2,招商银行
2505,第一卡好,O O O B-COMMENTS_ADJ,2,招商银行
2506,下卡多久了？有账单分期不算什么大黑,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O,2,招商银行
2507,所以，分期买手机也是没用的,O O O B-PRODUCT I-PRODUCT O O O O O O O O,2,招商银行
2508,所以，分期买手机是没用的,O O O B-PRODUCT I-PRODUCT O O O O O O O,2,招商银行
2509,走吧，我去年分期买了手机，走出暗室筹钱?多久没见了..,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,招商银行
2510,这是不是黑屋呀，出来是不是额度还是很低,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
2511,是??{:2_186:},O O O O O O O O O O O O,2,
2512,哪要怎么办呢，重新办张二卡可以吗，心累,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
2513,临额出来了固额能调9k??怎么搞??都说要3+1是什么意思大神给指点一下,B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,
2514,欠债逾期，还不让从工资卡里扣？,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2,招商银行
2515,按期还钱本来就是你的义务。欠债逾期，还不让从工资卡里扣？,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2,招商银行
2516,银行扣工资的时候有点不厚道卡，但是还债是自然的。是浦发银行么,O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O,2,
2517,按期还钱是你的义务。?债务逾期不还就不准发工资卡,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,招商银行
2518,您好，您的工行卡额度提了么,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,
2519,理论上来说，你这个时间不是“经典”时间，大致是18：30至19：00左右的时间段吧，不到经典时间更不说“厕所…,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,
2520,19.00.39是经典时间嘛,O O O O O O O O O O O O O O,2,招商银行
2521,应该是中信银行的明日贷不错的,O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
2522,还在审核中app额度变成3000该不会下卡也只有3000吧,O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,招商银行
2523,掌上生活App额度信贷的金额大概率是卡的额度,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,招商银行
2524,我之前有招行的额度8000然后注销了，现在申请一直审核中，昨天app显示的额度还是8000，今天突然变成3000但是卡片还在审核该不会下卡就是3000吧...,O O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2,招商银行
2525,应该是3000，还是看最终审核额度吧，也有可能恢复到原来的8000.,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2,招商银行
2526,3000菜卡一张，浦发的,O O O O O O O O O B-BANK I-BANK O,2,
2527,厕所法过时了，没了?嘿卡物种,O O O O O O O O O O O O O O,2,招商银行
2528,招商二卡本来是秒批的，白金卡除外！你既然去网点进件推二卡标金，那下卡额度估计能曲线！,B-BANK I-BANK O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O,2,招商银行
2529,除了申请白金卡，其他卡都没法曲线,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O,2,
2530,如果秒批了我猜他额度肯定是共享了，可他现在没秒批而是审核了两天，估计能曲线！,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2,招商银行
2531,金卡二卡干什么进件,B-PRODUCT I-PRODUCT O O O O O O O,2,招商银行
2532,这是一卡多少额度啊,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O,2,招商银行
2533,这个应该能曲线吧,O O O O O O O O,2,招商银行
2534,多少钱的车才能进件,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2,招商银行
2535,这是不是曲线失败了,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
2536,还在审着，还没出结果，继续等，额度随便多少都可以,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2,
2537,刚才又去问网点了，网点可能我之前的那个卡虽然是金卡，当时资质不好，审核成普卡了，这次申请金卡，不出意外金卡最低10k...,O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,招商银行
2538,你现在额度多少,O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2539,300，能成功么,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
2540,3000对吧，那这次肯定能成功曲线到8000~12000，等着瞧！先恭喜你,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
2541,借老哥吉言，出结果第一时间告诉你，可是我之前多次在资料管理提交行驶证没用,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2542,好的，淡定坐等结果,B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,招商银行
2543,我现在还可以用朋友的天使额度曲线吗,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,招商银行
2544,没看明白你的意思，这个额度不能提了么,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O,2,
2545,这个不过我就把所有的卡都注销，通过朋友的天使额度申请,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,招商银行
2546,朋友天使额度是什么神物？？,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2,招商银行
2547,看图，提额还是要多刷,O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,
2548,我没试过这种操作，你到时试试看,O O O O O O O O O O O O O O O,2,招商银行
2549,老哥咱俩加个VX跟你聊天舒服,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2550,你关注我,O O O O,2,招商银行
2551,关注不了，你加我ZJT-XW,O O O O O O O O O O O O O O,2,招商银行
2552,我说你点我这个论坛的头像然后点关注我,O O O O O O O O O O O O O O O O O O,2,招商银行
2553,没有关注的按钮,O O O O O O O,2,招商银行
2554,你点我头像然后看到右上角不是有关注两个字吗,O O O O O O O O O O O O O O O O O O O O O,2,招商银行
2555,没有，只有TA的主页,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,招商银行
2556,还有这种事？你点我头像然后截图界面给我看看,O O O O O O O O O O O O O O O O O O O O O,2,招商银行
2557,你点其他人的头像也没看见关注两字吗,O O O O O O O O O O O O O O O O O,2,招商银行
2558,我用招商卡10年了。你不注销1卡也不申请申请白金，不可能曲线的。不信你等着,O O B-BANK I-BANK O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,招商银行
2559,图被吃了我ZJT-XW,O O O O O O O O O O O,2,招商银行
2560,招商II卡本来是第二批，除了白金卡！既然你去了经销店进口件,B-BANK I-BANK O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O,2,招商银行
2561,今天我的两万多上门了，说让我先还一万多，剩下的才协商，也可以吧，这样也算宽松了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
2562,上海信访办走一波,O O O O O O O O,2,招商银行
2563,能起作用吗?,O O O O O O,2,招商银行
2564,隔壁上岸区去问问，有个工行的支行,O O O O O O O O O O O B-BANK I-BANK O O O,2,
2565,今天我2万多上门，说我先还1万多，剩下的上门，上门额度就可以提升的快了,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,
2566,怎么办这么多的？,O O O O O B-COMMENTS_ADJ O O,2,招商银行
2567,现在20周年的也没了，啥福利都没有了,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,
2568,真的很好,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2569,怎么做这么多？,O O O O O B-COMMENTS_ADJ O,2,招商银行
2570,银行的钱别欠，每个月多少还一点进去，别给整成信用卡诈骗了。,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0,招商银行
2571,没钱还也只能拖下去了，每个月还个几十块进入就行，代表有还款意向，但没还款能力，没协商好分期还款前，都不要还大金额进入，还进去也是当利息扣掉浪费钱。...,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2,招商银行
2572,每个月还点有什么用，也不够扣利息,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT,2,招商银行
2573,别听那些每个月还什么一百几十块，完全没用的，还不如留着买点吃的。最有用的方法就是逾期超过90天以上，打...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,2,招商银行
2574,不要听那些一个月交100元以上的，完全没用。还不如,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,招商银行
2575,伤心故事固定金额,B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N,2,招商银行
2576,那个随便搞一个假的，又不联网查,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,招商银行
2577,我有提供贫困户证明，真的，每年国家会发放外出务工交通补助，小孩上学补助之类的，还是不给我协商分期,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2,招商银行
2578,我是一只不还款3个月，才说让我准备材料的，，这三个月1分钱也不还,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O,2,招商银行
2579,打12378投诉，一个星期左右就能成，我上次工行的就是,O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O,0,
2580,我没有打12378，，现在也成功做了个性化分期,O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT,2,招商银行
2581,我打通了12378投诉，一个礼拜左右他们打电话来同意分期了，态度好的不得了,O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0,招商银行
2582,我已经成功个性招商银行的分期,O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT,2,招商银行
2583,滴滴滴滴滴,O O O O O,2,招商银行
2584,想想你1卡的额度，你就知道2卡的额度是多少了。,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
2585,掌上生活直视,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O,2,招商银行
2586,悲伤的故事,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0,招商银行
2587,说多都是泪,O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N,0,招商银行
2588,现在毕业不止6万了吗？我自然升到6万两三年了也没动静,O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
2589,0755去激活工资卡，没等我开口小姐姐就让我升级金葵花。然后问喜欢的数字，说了5跟7，最后给了个4A2B。,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O,2,招商银行
2590,代发可以直接免金葵花管理费，当然能零开,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O,2,招商银行
2591,代发工资直接去吗？已经代发好几年了今天才看到已经有卡了直接升？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,2,招商银行
2592,只要是代发就可以吗，没有最低标准,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
2593,中信3.0（190901开）→3.3（200114首）已销,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,
2594,谢谢您的回复，距离最后一次取款已经3个月了。?大概是翻车了,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,0,招商银行
